epsilons,errors,labels
2.0,13.855201739703944,min errors
1.4,26.731874346355198,min errors
1.2,14.181278423695403,min errors
1.0,45.892434228729826,min errors
0.8,44.299057641119134,min errors
0.7,3.2628893342332503,min errors
0.5,27.752219211999773,min errors
0.4,28.36823281977854,min errors
0.3,46.74522766818768,min errors
2.0,3219953.5837324057,mse errors
1.4,3659990.1163903237,mse errors
1.2,4733574.815563168,mse errors
1.0,6355141.645329451,mse errors
0.8,6969336.9713937035,mse errors
0.7,7910771.755656403,mse errors
0.5,13623776.46168121,mse errors
0.4,14374073.502087787,mse errors
0.3,20190366.662545126,mse errors
2.0,3714.5988973255066,max errors
1.4,5326.853439322134,max errors
1.2,4578.263516379717,max errors
1.0,6873.607474943381,max errors
0.8,6954.007692344689,max errors
0.7,6922.426916137205,max errors
0.5,9469.308867016038,max errors
0.4,9761.13121347724,max errors
0.3,13548.661019442286,max errors
2.0,1657.3235467458926,abs errors
1.4,1597.8365086529247,abs errors
1.2,1821.3810554491597,abs errors
1.0,2071.36670333221,abs errors
0.8,2147.4104766873033,abs errors
0.7,2198.531280963745,abs errors
0.5,2870.9827151272875,abs errors
0.4,2974.473895207251,abs errors
0.3,3470.2123010582586,abs errors
