epsilons,errors,labels
2.0,5311.795757522135,mse errors
1.4,9216.582723321533,mse errors
1.0,11750.228848143814,mse errors
0.8,18424.110794959248,mse errors
0.3,26975.57436502828,mse errors
2.0,32024.045231666478,max errors
1.4,47348.63583286199,max errors
1.0,46210.971341422875,max errors
0.8,106933.14434892678,max errors
0.3,161357.15670487552,max errors
2.0,2669.399195439518,abs errors
1.4,4884.193133482977,abs errors
1.0,7241.481492559342,abs errors
0.8,9070.957103440149,abs errors
0.3,14760.662509451036,abs errors
